run_id,mode,seed,family,snapshot_count,accepted_moves,score_start,score_end,score_best,score_slope,score_ls_slope,D_min_ratio_start,D_min_ratio_end,D_min_ratio_slope,D_min_ratio_ls_slope,P_4_start,P_4_end,P_4_slope,P_4_ls_slope,P_8_start,P_8_end,P_8_slope,P_8_ls_slope,P_16_start,P_16_end,P_16_slope,P_16_ls_slope,kappa_max_start,kappa_max_end,kappa_max_slope,kappa_max_ls_slope,Q_ratio_start,Q_ratio_end,Q_ratio_slope,Q_ratio_ls_slope,InitHardness_start,InitHardness_end,InitHardness_slope,InitHardness_ls_slope,final_label,final_canonical_hash,score0_candidate_paths
score_only_seed11,score_only,11,pure_random,31,25,424,12,12,-0.13733333333333334,-0.02635483870967742,0.5849056603773585,1.0,0.00013836477987421385,2.4098447961046867e-05,0.6051051051051051,0.010510510510510511,-0.00019819819819819818,-3.903298459750072e-05,0.6253753753753754,0.025525525525525526,-0.00019994994994994994,-4.359197907585004e-05,0.6696696696696697,0.14339339339339338,-0.00017542542542542543,-4.08129904097646e-05,7.0,1.0,-0.002,-0.00036189516129032267,0.7487552410901468,25.766203703703702,0.008339149487537851,0.003846450455848042,434.17142857143335,-757.8285714285666,-0.3973333333333333,-0.020854838709677425,unknown_final,afde2478f1d9e4c22d0dce579cfba89df1478254bc2fd2e073ba5c5344ba8bdf,[]
score_only_seed12,score_only,12,pure_random,31,26,636,8,4,-0.20933333333333334,-0.040467741935483866,0.660377358490566,1.5,0.000279874213836478,0.0003419126597687158,0.7304804804804805,0.0015015015015015015,-0.00024299299299299301,-4.752433885498402e-05,0.7507507507507507,0.01876876876876877,-0.000243993993993994,-5.125084762181537e-05,0.7837837837837838,0.11486486486486487,-0.00022297297297297296,-5.973009299622203e-05,7.666666666666667,0.75,-0.0023055555555555555,-0.0005239919354838709,0.49803459119496857,38.58680555555556,0.012696256988120198,0.017056071123143075,330.17142857143335,-829.8285714285666,-0.38666666666666666,0.05158064516129032,false_basin_final,fe287c333882b867eaa456fcd87840160e8b9fe30fc6e78bf678df4fc5231bd0,[]
score_only_seed13,score_only,13,pure_random,31,28,260,12,8,-0.08266666666666667,-0.015338709677419357,0.5230769230769231,1.0,0.00015897435897435896,7.488110008271298e-05,0.5127627627627628,0.010510510510510511,-0.00016741741741741742,-2.937615034389228e-05,0.5533033033033034,0.03153153153153153,-0.00017392392392392395,-3.174646420614163e-05,0.6193693693693694,0.1478978978978979,-0.00015715715715715716,-2.9215707643127002e-05,5.5,1.0,-0.0015,-0.0002889784946236559,1.208653846153846,25.636574074074073,0.008142640075973408,0.0027784724376206226,-29.828571428566647,-981.8285714285666,-0.31733333333333336,0.031903225806451614,unknown_final,0208a8a2f9fd3035adb02e8df85ba11aef88b7b22c3bb8c373c98797014395b4,[]
score_only_seed14,score_only,14,pure_random,31,25,348,12,12,-0.112,-0.020806451612903225,0.5402298850574713,1.0,0.0001532567049808429,-1.909992584352983e-05,0.5998498498498499,0.008258258258258258,-0.00019719719719719724,-3.780393296522329e-05,0.6298798798798799,0.03978978978978979,-0.00019669669669669673,-3.65022280344861e-05,0.6809309309309309,0.1614114114114114,-0.00017317317317317317,-3.247602441150828e-05,6.5,1.0,-0.0018333333333333333,-0.0003211405529953917,0.9045338441890166,25.22685185185185,0.00810743933588761,0.0019661348257322946,46.17142857143335,-1689.8285714285666,-0.5786666666666667,-0.44798387096774195,unknown_final,5c6c737e0c3a3d47a71de31e940c7f4b9cd2d4a98a82d239730868683aa70b08,[]
score_only_seed15,score_only,15,pure_random,31,39,304,16,8,-0.096,-0.017225806451612903,0.6052631578947368,0.75,4.824561403508772e-05,3.415747028862479e-05,0.5735735735735735,0.023273273273273273,-0.00018343343343343342,-3.130146275307565e-05,0.6036036036036037,0.060810810810810814,-0.00018093093093093094,-3.092306015693112e-05,0.668918918918919,0.18393393393393392,-0.0001616616616616617,-2.1459968032548685e-05,6.0,1.25,-0.0015833333333333333,-0.0002760752688172043,1.0364583333333333,19.20138888888889,0.006054976851851852,0.0013847469571385902,90.17142857143335,-1041.8285714285666,-0.37733333333333335,-0.25816129032258067,escapable_final,a502020e2756deefea2bbe076e600b38e75191797235384f252b2ddfa52c483a,[]
score_only_seed16,score_only,16,pure_random,31,23,420,12,8,-0.136,-0.025048387096774198,0.5333333333333333,1.0,0.00015555555555555556,2.8225806451612902e-05,0.6096096096096096,0.010510510510510511,-0.0001996996996996997,-3.947193160902839e-05,0.6306306306306306,0.04054054054054054,-0.00019669669669669667,-3.859101036520391e-05,0.6816816816816816,0.15990990990990991,-0.0001739239239239239,-3.587559333527076e-05,7.5,1.0,-0.0021666666666666666,-0.00040860215053763443,0.7536375661375662,25.671296296296298,0.008305886243386244,0.0026086416197303288,298.17142857143335,-921.8285714285666,-0.4066666666666667,-0.23219354838709677,unknown_final,fb297b8b81696cbab052adfe813cfbe3db15bc7a020370e9766f7d1a2f768d10,[]
score_only_seed17,score_only,17,pure_random,31,26,168,12,8,-0.052,-0.00953225806451613,0.5476190476190477,1.0,0.00015079365079365077,3.5627880184331795e-05,0.4339339339339339,0.006756756756756757,-0.0001423923923923924,-2.6545698924731185e-05,0.4722222222222222,0.03753753753753754,-0.0001448948948948949,-2.4544705996318902e-05,0.5540540540540541,0.15615615615615616,-0.00013263263263263263,-2.939128644773806e-05,4.333333333333333,1.0,-0.0011111111111111111,-0.00022264784946236557,1.853505291005291,25.627314814814813,0.007924603174603174,0.0015598555640894344,-441.82857142856665,-997.8285714285666,-0.18533333333333332,-0.06543548387096774,unknown_final,d9ee2d6ce9a8c56742c1b84c4879f03436b15d74758f5b4716c8ddecebd44d4f,[]
score_only_seed18,score_only,18,pure_random,31,29,352,16,12,-0.112,-0.01975806451612903,0.48863636363636365,1.0,0.00017045454545454544,2.286473607038123e-05,0.5878378378378378,0.023273273273273273,-0.0001881881881881882,-3.1909934127676065e-05,0.6201201201201201,0.05780780780780781,-0.00018743743743743742,-2.9494211953889365e-05,0.674924924924925,0.19894894894894896,-0.00015865865865865865,-2.1550784655623362e-05,11.0,1.0,-0.0033333333333333335,-0.0005940860215053763,0.8994633838383839,19.26215277777778,0.006120896464646465,0.0003313263260969915,310.17142857143335,-901.8285714285666,-0.404,-0.03251612903225806,unknown_final,a0a5b5899c2731bcc27b58df997aeb9d2405bd42b9b64fcaac3c850ea2fdf5c2,[]
score_only_seed19,score_only,19,pure_random,31,27,196,8,8,-0.06266666666666666,-0.010951612903225806,0.5714285714285714,1.5,0.00030952380952380956,4.137864823348695e-05,0.44069069069069067,0.003003003003003003,-0.00014589589589589588,-2.627022183473796e-05,0.49324324324324326,0.02027027027027027,-0.00015765765765765765,-2.5846410927056088e-05,0.5780780780780781,0.12312312312312312,-0.00015165165165165165,-1.709774290419452e-05,4.0,0.75,-0.0010833333333333333,-0.00019102822580645162,1.59452947845805,38.78819444444444,0.012397888321995464,0.0016313722649678156,-277.82857142856665,-597.8285714285666,-0.10666666666666667,0.10869354838709677,false_basin_final,95ec6e5a980206ee0c200d73aee8ba54225eb400b60815fb572c8222c69e052f,[]
score_only_seed20,score_only,20,pure_random,31,43,224,8,8,-0.072,-0.01432258064516129,0.4642857142857143,1.0,0.00017857142857142857,4.142665130568356e-05,0.5015015015015015,0.0045045045045045045,-0.00016566566566566566,-3.293616196842004e-05,0.5375375375375375,0.012012012012012012,-0.0001751751751751752,-3.639930252833479e-05,0.5908408408408409,0.11561561561561562,-0.00015840840840840843,-3.786145015983726e-05,5.333333333333333,1.0,-0.0014444444444444444,-0.00029099462365591395,1.3991815476190477,38.28125,0.012294022817460316,0.003933522578778375,-149.82857142856665,-1181.8285714285666,-0.344,-0.24225806451612902,unknown_final,f098dca79416283392bd51146fc13c78d1185624b2f8433a6594ae73ffabe998,[]
