label,feature,row_count,count,missing_count,mean,median,std,min,p10,p25,p75,p90,max
hard_basin,Q_ratio,2,2,0,25.63888888888889,25.63888888888889,0.28472222222222143,25.354166666666668,25.41111111111111,25.49652777777778,25.78125,25.866666666666667,25.92361111111111
hard_basin,Q_tot,2,2,0,44304.0,44304.0,492.0,43812.0,43910.4,44058.0,44550.0,44697.6,44796.0
hard_basin,InitHardness,2,2,0,-977.8285714285666,-977.8285714285666,492.0,-1469.8285714285666,-1371.4285714285668,-1223.8285714285666,-731.8285714285666,-584.2285714285666,-485.82857142856665
hard_basin,E_total,2,2,0,8749.0,8749.0,72.0,8677.0,8691.4,8713.0,8785.0,8806.6,8821.0
hard_basin,AP_total,2,2,0,491.0,491.0,4.0,487.0,487.8,489.0,493.0,494.2,495.0
hard_basin,E_excess_total,2,2,0,-116.45714285714212,-116.45714285714212,72.0,-188.45714285714212,-174.05714285714214,-152.45714285714212,-80.45714285714212,-58.857142857142115,-44.45714285714212
hard_basin,AP_excess_total,2,2,0,1.2000000000000242,1.2000000000000242,4.0,-2.799999999999976,-1.9999999999999758,-0.7999999999999758,3.200000000000024,4.400000000000024,5.200000000000024
hard_basin,improving_swap_count,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,near_improving_count_h_le_4,2,2,0,12.5,12.5,0.5,12.0,12.100000000000001,12.25,12.75,12.9,13.0
hard_basin,near_improving_count_h_le_8,2,2,0,35.5,35.5,0.5,35.0,35.1,35.25,35.75,35.9,36.0
hard_basin,near_improving_count_h_le_16,2,2,0,200.5,200.5,12.499999999999986,188.00000000000003,190.50000000000003,194.25000000000003,206.75,210.5,213.0
hard_basin,moment_zero_count_3,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,moment_zero_count_6,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,higher_moment_norm,2,2,0,217.5,217.5,52.5,165.0,175.5,191.25,243.75,259.5,270.0
search_derived_false_basin,score,36,36,0,6.333333333333333,8.0,1.9720265943665387,4.0,4.0,4.0,8.0,8.0,8.0
